"address","businessProfileId","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","isLocalGuide","kgmid","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Negative","reviewContext/Positive","reviewContext/Price assessment","reviewContext/Services","reviewId","reviewImageUrls/0","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","false","/g/11f4_5j3ch","en","0","37.072572","-94.505007","Carol Scheerer",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"4 weeks ago","2026-08-04T15:36:09.658Z",,"2026-08-05T01:23:34.000Z","Thank you so very much carol.  From changing your water heater to installing new drier vent ducting ,you can always count on us! ",,,,,"Ci9DQUlRQUNvZENodHljRjlvT25KR2IzRnlSVzkwWkhkWmNuVnZkV1pGUzBKVlVsRRAB",,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KR2IzRnlSVzkwWkhkWmNuVnZkV1pGUzBKVlVsRRAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOnJGb3FyRW90ZHdZcnVvdWZFS0JVUlE%7C%7C?hl=en","106673630261317065948","4","https://lh3.googleusercontent.com/a/ACg8ocJCM12Ko_oUb71u77-P3TLs_4r_ByWUE3w7gFLh6z5_Qf8Qeg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/106673630261317065948?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","Excellent workmanship. Always on time. Explains things thoroughly. Cleans up and removes all old parts. will call again",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","false","/g/11f4_5j3ch","en","0","37.072572","-94.505007","Canyon Walker",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"a month ago","2026-07-24T14:47:36.925Z",,"2026-07-24T15:17:45.000Z","Thank you canyon for the kind words.  We look forward to working with you again in the near future.  ",,,,"Fence installation","Ci9DQUlRQUNvZENodHljRjlvT2xjNGJVNVZSVFExWWpCcGRFSmxiVWhJUkhOclRGRRAB",,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xjNGJVNVZSVFExWWpCcGRFSmxiVWhJUkhOclRGRRAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOlc4bU5VRTQ1YjBpdEJlbUhIRHNrTFE%7C%7C?hl=en","115046664564753615236","1","https://lh3.googleusercontent.com/a/ACg8ocLi6fjS2hUd3woAn5rBaFs5njsDfOyj20QrlIjGSbhiSeALKg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/115046664564753615236?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","They were really nice!",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","false","/g/11f4_5j3ch","en","0","37.072572","-94.505007","Siji Ajayi",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"a month ago","2026-07-09T18:49:35.668Z",,"2026-07-09T22:12:28.000Z","We’re always happy to help.  Good luck at med school.   Thanks!",,,,,"Ci9DQUlRQUNvZENodHljRjlvT25OSGJqRmFWVXRsTTJOSFNUQjFSbGxtVjFWVFduYxAB",,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OSGJqRmFWVXRsTTJOSFNUQjFSbGxtVjFWVFduYxAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOnNHbjFaVUtlM2NHSTB1RllmV1VTWnc%7C%7C?hl=en","113838492260885315433","2","https://lh3.googleusercontent.com/a/ACg8ocJlpISpow9qYRl0EuDxt0iS06oqWdUlahL3QjLayjBUdgKvGw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/113838492260885315433?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","Excellent service! Keaton did an awesome job helping me set up and install everything for my new apartment. He was very professional and helped me set everything up quickly. Highly recommend!",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","true","/g/11f4_5j3ch","en","0","37.072572","-94.505007","Sinna Stevenson",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"2 months ago","2026-06-03T14:02:55.697Z",,"2026-06-03T14:22:00.000Z","It’s always an honor, we’re always glad to help.  
walking in to see your washer/drier  laying sideways on the floor definitely showed you guys struggled with it tremendously,  I’m happy you reached out to us instead of risking your safety any further.   You know who you can trust for everything construction including appliance installation.   
Thanks again sinna we look forward to working with you again in the future !",,,"Great price","Service not listed","Ci9DQUlRQUNvZENodHljRjlvT2pkVGR6SlZNVEI2VEVseWFrb3paV0UxTlhoTk9YYxAB","https://lh3.googleusercontent.com/grass-cs/ACvplmPSmgKHVG9aIpiwGKghja_P61nC_IUi98azB_TuxOP8M5i25aIzFrektNYAChq3CkHYPfVMBPcg9c-Wz2sM9161Oz2j58zEp8BOIcG2IzVFWg5S7uGEXZhBJJH-2jgF36kW8tSkMIs_bIAl=k-no","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkVGR6SlZNVEI2VEVseWFrb3paV0UxTlhoTk9YYxAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOjdTdzJVMTB6TElyakozZWE1NXhNOXc%7C%7C?hl=en","100014282932468110685","20","https://lh3.googleusercontent.com/a-/ALV-UjWmJY8XySr4ptd4gUFUqjijpP_WCbqvh5tN1EB5tawFb6Nszu5M=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/100014282932468110685?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","Service above and beyond!! We followed some bad advice and got in a bind. I didn't communicate as clearly as I thought I had, so they kind of came in blind, but they got me taken care of, even so. Professional, but relatable. If you need a service they offer, you won't get better from anyone else.",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","false","/g/11f4_5j3ch","en","0","37.072572","-94.505007","Kendrick Irvin",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"4 months ago","2026-04-22T23:14:33.849Z",,"2026-04-22T23:33:32.000Z","Thank you Kendrick  we definitely appreciate all your business.  We’re here For all your home improvements needs.  ",,,,,"Ci9DQUlRQUNvZENodHljRjlvT205cVZrMUZTa2hhZEhWME9FdDJWRzFFWTFWd2NGRRAB",,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT205cVZrMUZTa2hhZEhWME9FdDJWRzFFWTFWd2NGRRAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOm9qVk1FSkhadHV0OEt2VG1EY1VwcFE%7C%7C?hl=en","100609373593407253173","11","https://lh3.googleusercontent.com/a/ACg8ocI8ael9XaquwTYwiXD64CmZo5xlRgjtkFkKxWWPigD8z9Id6Q=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/100609373593407253173?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","Great attention to detail. They a great job and know how to do a lot. Its great to not have to go through multiple contractors. I highly recommend them!",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","false","/g/11f4_5j3ch","en","0","37.072572","-94.505007","Julie North",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"6 months ago","2026-02-23T23:55:33.917Z",,"2026-02-24T00:01:56.000Z","We’re always happy to help.   
Thank you so much Julie.   We look forward to working with you again in the future!",,,,,"Ci9DQUlRQUNvZENodHljRjlvT21wc1MyeDFUbFUwU2tkNmQzcE1kSFIyWVhKelRFRRAB",,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wc1MyeDFUbFUwU2tkNmQzcE1kSFIyWVhKelRFRRAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOmpsS2x1TlU0Skd6d3pMdHR2YXJzTEE%7C%7C?hl=en","108989057851240593298","3","https://lh3.googleusercontent.com/a/ACg8ocKiE8zwVUvPTqKFlH8vRWyx5iKr_YbKHMEOouhije9geyb1Zw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/108989057851240593298?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","Was needing a fence put up.Sheres construction responded promptly and had new fence and separate gate put up in no time",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","true","/g/11f4_5j3ch","en","0","37.072572","-94.505007","Andrew Anthony",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"6 months ago","2026-02-23T03:29:46.191Z",,"2026-02-23T12:33:48.000Z","Thank you so very much andrew, definitely means a lot to us that after 13 years our friends,family and local community still supports us. We absolutely love what we do and are happy to help in any way possible.  ",,,"Great price","General construction","Ci9DQUlRQUNvZENodHljRjlvT2tVNVMwc3pZVVJPUkZSblpqQkROa1l6TWxadFJWRRAB",,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tVNVMwc3pZVVJPUkZSblpqQkROa1l6TWxadFJWRRAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOkU5S0szYURORFRnZjBDNkYzMlZtRVE%7C%7C?hl=en","106761532953915281458","27","https://lh3.googleusercontent.com/a/ACg8ocLr4NiIeNY8iielJAHvIfoHlBCuFT8adTd_BXk2rNBMVp5yCw=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/106761532953915281458?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","I have known Keaton for a while now. When he says he is going to be there, he will be on time. I would highly recommend that you try them  out Shere’s construction won’t disappoint.",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","true","/g/11f4_5j3ch","en","0","37.072572","-94.505007","Tracy Artym",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"6 months ago","2026-02-23T01:17:59.853Z",,"2026-02-23T12:28:18.000Z","Thank you Tracy for the review    ",,,"Great price","Service not listed","Ci9DQUlRQUNvZENodHljRjlvT2twbFRXbE9iM0JmUjNkWGVHSTVka2hGVkZWSE5HYxAB",,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2twbFRXbE9iM0JmUjNkWGVHSTVka2hGVkZWSE5HYxAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOkplTWlOb3BfR3dXeGI5dkhFVFVHNGc%7C%7C?hl=en","114321546549734021041","6","https://lh3.googleusercontent.com/a-/ALV-UjVLUqZWqJToG-0hs0o87rmrR8hwO2WCNdZKu98Ye_sxJH_32qg=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/114321546549734021041?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","Very professional, delivers excellent work, and an avid supporter of other small businesses....yes please!!",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","false","/g/11f4_5j3ch","en","0","37.072572","-94.505007","James MILLER",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"6 months ago","2026-02-22T20:31:59.257Z",,"2026-02-22T21:15:28.000Z","Thank you james From all of us here at SCH , for the opportunity to earn all your business.  
No job is Big or small we are known to do it all! 
",,,"Great price","General construction","Ci9DQUlRQUNvZENodHljRjlvT25wUGJsbFBPRlZLV0haUVJGWmlkMnRmYlRSTWFGRRAB",,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wUGJsbFBPRlZLV0haUVJGWmlkMnRmYlRSTWFGRRAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOnpPbllPOFVKWHZQRFZid2tfbTRMaFE%7C%7C?hl=en","101345137523048589295","6","https://lh3.googleusercontent.com/a/ACg8ocKrAYp2fhPQG_cofz1NUR9HKYXxCm5pQQOV1yojLS8UnpOlMkw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101345137523048589295?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","Best  around and super friendly

great communication about updates to my projects

Highly recommend.",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
"1705 Ohio Ave, Joplin, MO 64804","3818474682365387824","Handyman/Handywoman/Handyperson","Bathroom remodeler","Construction company","Deck builder","Dry wall contractor","Fence contractor","Flooring contractor","Kitchen remodeler","Painter","Plumber","Handyman/Handywoman/Handyperson","7007871675505147316","Joplin","US","0x87c87b817ea6aaab:0x6140f628da017db4",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbAvVtx6M_o7f6ghNc9UEvBATC6196-qcpGP3DevpEhzC-_yhIzVvzg4qO0xLo4LcSXLKgDjVgafr3jzHKVRN3b6sGJHtS7Ky9_51D2O5QIwh9_BjJpZORBrESqWVoCuPl3ZqpE2G7BeCo=w426-h240-k-no","false","false","/g/11f4_5j3ch","en","0","37.072572","-94.505007","Jon Buck",,"en","false","ChIJq6qmfoF7yIcRtH0B2ij2QGE","64804",,"6 months ago","2026-02-22T18:34:36.111Z",,"2026-02-22T18:48:16.000Z","Thank you so very much Jon for all your repeat business. With everything we do,we give our all . providing the utmost customer service,precision and quality for all our clients.  Big or small you know who you can count on.  ",,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xad1luVlROblo1Y25BMVlqVnZaM1ZyTkZOa1MyYxAB",,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xad1luVlROblo1Y25BMVlqVnZaM1ZyTkZOa1MyYxAB!2m1!1s0x0:0x6140f628da017db4!3m1!1s2@1:CAIQACodChtycF9oOlZwYnVTNnZ5cnA1YjVvZ3VrNFNkS2c%7C%7C?hl=en","109867000287133407852","1","https://lh3.googleusercontent.com/a/ACg8ocKm7DLeXqKmDvOtb2RsyqUJzIAAHC9GI6bGy5z-yqeq_VTu4A=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109867000287133407852?hl=en","116","2026-09-02T04:33:41.618Z","Direct Detail URL: https://www.google.com/maps/place/Shere's+construction+%26+handyman/@37.072572,-94.505007,17z/data=!3m1!4b1!4m6!3m5!1s0x87c87b817ea6aaab:0x6140f628da017db4!8m2!3d37.072572!4d-94.505007!16s%2Fg%2F11f4_5j3ch?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","5","Missouri","1705 Ohio Ave","false","Always have done A++ work for me.",,"Shere's construction & handyman","4.5",,"https://www.google.com/maps/search/?api=1&query=Shere's%20construction%20%26%20handyman&query_place_id=ChIJq6qmfoF7yIcRtH0B2ij2QGE",
